plot_code;n_stations;n_stations_seed;n_sations_open;n_stations_seed_open;seed_den
B1;108;43;101;36;134.43
B2;108;73;59;28;431.27
B3;108;85;35;13;575.23
B4;108;80;67;39;474.53
G1;108;38;86;16;180.93
G2;108;75;65;34;336.52
G3;108;70;37;6;399.92
M1;108;90;30;13;846.76
M2;108;54;83;30;358.25
M3;108;94;19;6;1088.55
P1;108;64;75;31;338.29
P2;108;62;55;10;302.37
P3;108;32;93;18;227.19
P4;108;95;7;2;522.31
